GT Prog,Description,Image,Would GT Prog Get Pruned?,Due to False Positives?,Due to False Negatives?,Relevant Labels
Complement(IsObject(Car)),All objects except cars,test_images/cars/43230032045_d8377fca4a_c.jpg,False,False,False,
"Complement(Union[IsObject(Car), IsObject(Bicycle)])",All objects except cars and bicycles,test_images/cars/39910643935_3fee1c5e5e_c.jpg,False,False,False,
"Complement(Union[IsObject(Car), IsObject(Bicycle)])",All objects except cars and bicycles,test_images/cars/23688815328_9262b6f13f_c.jpg,True,False,True,Car
"Complement(Union[IsObject(Car), IsObject(Bicycle)])",All objects except cars and bicycles,test_images/cars/5421932595_68f7ab545d_c.jpg,False,False,False,
"Complement(Union[IsObject(Car), IsObject(Bicycle)])",All objects except cars and bicycles,test_images/cars/n02958343_4294.JPEG,True,False,True,Car
"Complement(Union[IsObject(Car), IsObject(Bicycle)])",All objects except cars and bicycles,test_images/cars/43420571660_864dc92875_c.jpg,False,False,False,
"Complement(Union[IsObject(Car), IsObject(Bicycle)])",All objects except cars and bicycles,test_images/cars/42957663251_025fb32ac8_c.jpg,False,False,False,
"Complement(Union[IsObject(Car), IsObject(Bicycle)])",All objects except cars and bicycles,test_images/cars/6708503525_870ea33fd2_c.jpg,False,False,False,
"Complement(Union[IsObject(Car), IsObject(Bicycle)])",All objects except cars and bicycles,test_images/cars/14420105097_68c72c96f2_c.jpg,True,False,True,Wheel
"Complement(Union[IsObject(Car), IsObject(Bicycle)])",All objects except cars and bicycles,test_images/cars/38003299455_d6d697ee64_c.jpg,True,False,True,Text
"Complement(Union[IsObject(Car), IsObject(Bicycle)])",All objects except cars and bicycles,test_images/cars/7277639906_2f455d0a66_c.jpg,False,False,False,
"Map(IsObject(Car), IsText, GetContains)",All text on a car,test_images/cars/41195542880_7166141ab7_c.jpg,False,False,False,
"Map(IsObject(Car), IsText, GetContains)",All text on a car,test_images/cars/43410237094_213aff3335_c.jpg,False,False,False,
"Map(IsObject(Car), IsText, GetContains)",All text on a car,test_images/cars/41814174020_5edd437c9b_c.jpg,True,True,True,Text
"Map(IsObject(Car), IsText, GetContains)",All text on a car,test_images/cars/43230032045_d8377fca4a_c.jpg,False,False,False,
"Map(IsObject(Car), IsText, GetContains)",All text on a car,test_images/cars/44929498572_0b602cb182_c.jpg,False,False,False,
"Map(IsObject(Car), IsText, GetContains)",All text on a car,test_images/cars/7283056644_e9ca3877d1_c.jpg,False,False,False,
"Map(IsObject(Car), IsText, GetContains)",All text on a car,test_images/cars/5421932595_68f7ab545d_c.jpg,True,False,True,Text
"Map(IsObject(Car), IsText, GetContains)",All text on a car,test_images/cars/car1.jpeg,True,True,True,Text
"Map(IsObject(Car), IsText, GetContains)",All text on a car,test_images/cars/42957663251_025fb32ac8_c.jpg,True,False,True,Text
"Map(IsObject(Car), IsText, GetContains)",All text on a car,test_images/cars/43550177292_8b0be337fe_c.jpg,False,False,False,
